,Data,Tipo da uva,Nome da uva,Kilogramas
448,2012-01-01,BRANCAS E ROSADAS,Malvasia di Candia,1825193
449,2012-01-01,BRANCAS E ROSADAS,Moscato Branco,13322429
450,2012-01-01,BRANCAS E ROSADAS,Moscato Canelli,123255
451,2012-01-01,BRANCAS E ROSADAS,Moscato Giallo,1641498
452,2012-01-01,BRANCAS E ROSADAS,Moscato Nazareno,633606
453,2012-01-01,BRANCAS E ROSADAS,Moscato Bianco R2,618266
454,2012-01-01,BRANCAS E ROSADAS,Moscato de Alexandria,184748
455,2012-01-01,BRANCAS E ROSADAS,Peverella,43656
456,2012-01-01,BRANCAS E ROSADAS,Pinot Blanc,10174
457,2012-01-01,BRANCAS E ROSADAS,Pinot Gris,187685
458,2012-01-01,BRANCAS E ROSADAS,Prosecco,2420715
459,2012-01-01,BRANCAS E ROSADAS,Riesling Italico,3172992
460,2012-01-01,BRANCAS E ROSADAS,Riesling Renano,195120
461,2012-01-01,BRANCAS E ROSADAS,Sauvignon Blanc(2),855045
462,2012-01-01,BRANCAS E ROSADAS,Sauvignon Gris,2854
463,2012-01-01,BRANCAS E ROSADAS,Semillon,336252
464,2012-01-01,BRANCAS E ROSADAS,Schonburger,21348
465,2012-01-01,BRANCAS E ROSADAS,Sylvaner,144
466,2012-01-01,BRANCAS E ROSADAS,Trebbiano,2576020
467,2012-01-01,BRANCAS E ROSADAS,Verdelho,14339
468,2012-01-01,BRANCAS E ROSADAS,Vermentino,4844
